user_id,keyword_name,rating,user_id,페이지1 방문,페이지2 방문,페이지3 방문,누적방문수,누적클릭수,누적체류시간,누적뷰티키워드검색,누적IT키워드검색,when
22,Toy Story (1995),1,22,1,0,0,12,13,41,20,11,2022-02-06 16:30
22,Jumanji (1995),1,22,0,1,0,12,34,52,14,12,2022-02-06 16:30
22,Grumpier Old Men (1995),1,22,0,0,1,13,56,56,15,17,2022-02-06 16:30
22,Waiting to Exhale (1995),1,22,0,0,0,24,51,61,17,16,2022-02-06 16:30
22,Father of the Bride Part II (1995),1,22,0,0,1,31,65,76,17,10,2022-02-06 16:30
22,Heat (1995),1,22,1,0,0,35,76,78,11,19,2022-04-08 19:55
22,Sabrina (1995),1,22,0,1,0,18,23,79,13,20,2022-04-08 19:55
22,Tom and Huck (1995),1,22,1,0,0,21,16,43,15,12,2022-04-08 19:56
22,Sudden Death (1995),1,22,1,0,0,10,43,73,19,16,2022-04-08 19:56
22,GoldenEye (1995),1,22,1,0,0,15,60,54,15,11,2022-04-08 19:56
22,"American President, The (1995)",1,22,0,1,0,12,43,41,14,13,2022-04-08 19:57
22,Dracula: Dead and Loving It (1995),1,22,1,0,0,19,20,60,11,13,2022-04-16 13:53
22,Balto (1995),1,22,0,0,1,28,20,86,19,13,2022-04-16 13:53
22,Nixon (1995),1,22,0,1,0,28,20,52,18,12,2022-04-16 13:53
22,Cutthroat Island (1995),1,22,0,0,1,18,16,46,20,16,2022-04-16 13:53
22,Casino (1995),1,22,1,0,0,17,25,77,19,15,2022-04-16 13:53
22,Sense and Sensibility (1995),1,22,0,1,0,28,35,88,14,10,2022-04-16 13:53
22,Four Rooms (1995),1,22,1,0,0,28,17,59,11,18,2022-04-16 13:53
22,Ace Ventura: When Nature Calls (1995),1,22,1,0,0,22,31,75,14,10,2022-04-28 11:12
22,Money Train (1995),1,22,0,0,1,30,38,45,13,20,2022-04-28 11:13
22,Get Shorty (1995),1,22,1,0,0,22,18,77,14,14,2022-04-28 11:13
22,Copycat (1995),1,22,0,0,1,19,61,41,16,13,2022-04-28 17:11
22,Assassins (1995),1,22,0,1,0,29,80,68,19,10,2022-04-28 17:12
22,Powder (1995),1,22,1,0,0,23,66,90,17,14,2022-05-10 16:57
22,Leaving Las Vegas (1995),1,22,0,1,0,11,78,49,11,12,2022-05-16 14:08
22,Othello (1995),1,22,1,0,0,19,31,57,11,13,2022-05-16 14:08
22,Now and Then (1995),1,22,0,0,1,17,66,72,10,10,2022-05-16 14:08
23,Persuasion (1995),1,23,0,1,0,24,19,41,18,14,2022-04-04 14:15
23,"City of Lost Children, The (Cit챕 des enfants perdus, La) (1995)",1,23,0,0,1,20,21,81,20,18,2022-04-04 22:44
23,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1,23,0,1,0,13,16,76,15,12,2022-04-04 22:45
23,Dangerous Minds (1995),1,23,0,0,1,25,16,51,19,17,2022-04-27 10:45
23,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1,23,0,1,0,13,70,58,17,20,2022-05-11 21:34
24,Babe (1995),1,24,1,0,0,21,80,49,10,13,2021-11-26 15:59
24,Dead Man Walking (1995),1,24,0,0,1,28,37,55,20,11,2021-11-26 16:00
24,It Takes Two (1995),1,24,1,0,0,27,49,45,18,18,2022-01-11 16:54
24,Clueless (1995),1,24,1,0,0,26,70,55,12,12,2022-05-09 10:11
25,"Cry, the Beloved Country (1995)",1,25,1,0,0,20,12,81,20,12,2022-03-31 13:37
25,Richard III (1995),1,25,1,0,0,11,16,82,11,12,2022-03-31 13:37
25,Dead Presidents (1995),1,25,1,0,0,11,45,44,12,17,2022-03-31 13:37
25,Restoration (1995),1,25,1,0,0,23,79,68,11,16,2022-03-31 13:37
25,Mortal Kombat (1995),1,25,0,0,1,11,67,56,13,18,2022-03-31 13:37
25,To Die For (1995),1,25,0,1,0,29,50,61,13,18,2022-03-31 13:37
25,How to Make an American Quilt (1995),1,25,1,0,0,25,46,53,13,14,2022-03-31 14:04
25,Seven (a.k.a. Se7en) (1995),1,25,0,0,1,18,47,42,20,14,2022-03-31 14:04
25,Pocahontas (1995),1,25,0,0,1,27,25,45,17,17,2022-03-31 14:04
25,When Night Is Falling (1995),1,25,1,0,0,30,57,58,16,16,2022-03-31 14:04
25,"Usual Suspects, The (1995)",1,25,0,0,1,16,35,44,16,16,2022-03-31 14:04
25,Mighty Aphrodite (1995),1,25,1,0,0,12,33,47,20,16,2022-04-04 14:15
25,Lamerica (1994),1,25,1,0,0,22,24,47,16,13,2022-04-06 12:23
25,"Big Green, The (1995)",1,25,0,1,0,28,45,67,11,19,2022-04-06 12:23
25,Georgia (1995),1,25,1,0,0,10,49,73,20,10,2022-05-10 16:55
26,Home for the Holidays (1995),1,26,0,0,1,30,44,81,15,11,2021-12-17 11:56
26,"Postman, The (Postino, Il) (1994)",1,26,1,0,0,12,66,71,16,13,2022-03-04 11:29
26,"Indian in the Cupboard, The (1995)",1,26,0,0,1,25,50,50,12,20,2022-03-08 15:09
26,Eye for an Eye (1996),1,26,1,0,0,20,58,86,11,14,2022-03-10 15:39
26,Mr. Holland's Opus (1995),1,26,1,0,0,13,40,63,13,19,2022-03-10 15:39
26,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1,26,1,0,0,15,29,40,16,20,2022-05-09 10:23
26,Two if by Sea (1996),1,26,0,0,1,14,20,89,10,11,2022-05-10 17:04
27,Bio-Dome (1996),1,27,0,0,1,10,51,90,10,19,2021-10-20 12:20
27,Lawnmower Man 2: Beyond Cyberspace (1996),1,27,1,0,0,17,37,55,10,16,2021-10-20 12:20
27,French Twist (Gazon maudit) (1995),1,27,1,0,0,15,28,71,15,12,2021-10-20 12:23
27,Friday (1995),1,27,1,0,0,17,41,41,20,20,2021-10-20 14:33
27,From Dusk Till Dawn (1996),1,27,1,0,0,14,23,46,18,11,2021-10-20 14:33
27,Fair Game (1995),1,27,0,0,1,18,21,63,12,16,2021-10-21 11:35
28,Kicking and Screaming (1995),1,28,0,0,1,25,40,67,16,16,2021-10-20 17:49
28,"Mis챕rables, Les (1995)",1,28,1,0,0,11,36,50,16,18,2021-11-25 10:48
30,Bed of Roses (1996),1,30,1,0,0,29,32,81,17,17,2021-11-23 14:57
30,Big Bully (1996),1,30,0,1,0,11,42,87,15,14,2021-11-23 14:57
30,Screamers (1995),1,30,1,0,0,30,40,42,15,18,2021-11-23 14:57
30,Nico Icon (1995),1,30,0,0,1,16,17,80,20,18,2021-11-23 14:57
30,"Crossing Guard, The (1995)",1,30,0,0,1,17,65,64,16,12,2021-11-23 14:57
30,"Juror, The (1996)",1,30,0,0,1,13,58,59,17,19,2021-11-23 14:57
30,"White Balloon, The (Badkonake sefid) (1995)",1,30,1,0,0,15,63,45,20,13,2021-11-23 14:57
30,Things to Do in Denver When You're Dead (1995),1,30,0,0,1,15,64,87,20,20,2021-11-23 14:57
30,Antonia's Line (Antonia) (1995),1,30,1,0,0,30,43,54,10,14,2021-11-23 14:57
30,Once Upon a Time... When We Were Colored (1995),1,30,1,0,0,23,68,55,20,17,2021-11-23 14:57
30,Angels and Insects (1995),1,30,0,0,1,16,12,59,14,14,2021-11-23 14:57
30,White Squall (1996),1,30,1,0,0,24,32,74,19,14,2021-11-23 14:57
30,Dunston Checks In (1996),1,30,0,0,1,30,70,49,13,18,2021-11-23 14:57
30,Black Sheep (1996),1,30,1,0,0,26,68,79,17,19,2021-11-23 14:57
30,Nick of Time (1995),1,30,1,0,0,22,62,41,11,20,2021-11-23 14:57
30,Mary Reilly (1996),1,30,0,1,0,29,76,74,19,13,2021-11-23 14:57
