,book_id,keyword_name
0,68,Toy Story (1995)
1,73,Jumanji (1995)
2,144,Grumpier Old Men (1995)
3,2,Waiting to Exhale (1995)
4,465,Father of the Bride Part II (1995)
5,80,Heat (1995)
6,481,Sabrina (1995)
7,240,Tom and Huck (1995)
8,178,Sudden Death (1995)
9,3,GoldenEye (1995)
10,462,"American President, The (1995)"
11,39,Dracula: Dead and Loving It (1995)
12,362,Balto (1995)
13,179,Nixon (1995)
14,60,Cutthroat Island (1995)
15,284,Casino (1995)
16,72,Sense and Sensibility (1995)
17,352,Four Rooms (1995)
18,361,Ace Ventura: When Nature Calls (1995)
19,400,Money Train (1995)
20,377,Get Shorty (1995)
21,451,Copycat (1995)
22,415,Assassins (1995)
23,7,Powder (1995)
24,208,Leaving Las Vegas (1995)
25,126,Othello (1995)
26,277,Now and Then (1995)
27,226,Persuasion (1995)
28,250,"City of Lost Children, The (Cit챕 des enfants perdus, La) (1995)"
29,105,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,430,Dangerous Minds (1995)
31,248,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
33,104,Babe (1995)
34,344,Dead Man Walking (1995)
35,274,It Takes Two (1995)
36,1,Clueless (1995)
37,483,"Cry, the Beloved Country (1995)"
45,172,Richard III (1995)
47,463,Dead Presidents (1995)
48,138,Restoration (1995)
50,299,Mortal Kombat (1995)
54,327,To Die For (1995)
55,332,How to Make an American Quilt (1995)
61,95,Seven (a.k.a. Se7en) (1995)
62,296,Pocahontas (1995)
67,448,When Night Is Falling (1995)
68,35,"Usual Suspects, The (1995)"
69,388,Mighty Aphrodite (1995)
70,349,Lamerica (1994)
71,473,"Big Green, The (1995)"
72,64,Georgia (1995)
73,491,Home for the Holidays (1995)
74,475,"Postman, The (Postino, Il) (1994)"
75,363,"Indian in the Cupboard, The (1995)"
76,192,Eye for an Eye (1996)
77,180,Mr. Holland's Opus (1995)
78,99,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
79,343,Two if by Sea (1996)
80,108,Bio-Dome (1996)
81,291,Lawnmower Man 2: Beyond Cyberspace (1996)
82,42,French Twist (Gazon maudit) (1995)
83,253,Friday (1995)
84,54,From Dusk Till Dawn (1996)
85,228,Fair Game (1995)
87,373,Kicking and Screaming (1995)
88,67,"Mis챕rables, Les (1995)"
89,484,Bed of Roses (1996)
90,62,Big Bully (1996)
